TYPE (F),F:Alias,F:Database Table,"F:Database Field (or ""UDF"")",F:Long Name,F:Short Name,F:User Type,F:User Length,F:User Decimals,F:Reference Table Name,F:Reference Display Mode (Dropdown/Picklist),F:Reference Valid Code Required
TYPE (C),C: Code,C: Description,C: State Code,C: Local Code,C: Federal Code,C: Category Name,C: Is a category?,C: Dependency Code,C: edfi enumeration value,C: NOT USED,C: NOT USED
TYPE (R),R: Reference Table OID,R: Reference Table Name,R: Reference Table Code Length,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED
F,DOE EXCLUDE CRS,COURSE,UDF,Exclude from reporting,Exclude,Logical,1,0,,,
F,DOE EXCLUDE ENR,STUDENT_ENROLLMENT,UDF,Exclude from reporting,Exclude,Logical,1,0,,,
F,DOE EXCLUDE MST,SCHEDULE_MASTER,UDF,Exclude from reporting,Exclude,Logical,1,0,,,
F,DOE EXCLUDE PGM,STUDENT_PROGRAM_PARTICIPATION,UDF,Exclude from reporting,Exclude,Logical,1,0,,,
F,DOE EXCLUDE STD,STUDENT,UDF,Exclude from reporting,Exclude,Logical,1,0,,,
F,DOE EXCLUDE STF,STAFF,UDF,Exclude from reporting,Exclude,Logical,1,0,,,
F,all-adr-County,PERSON_ADDRESS,ADR_COUNTY,Residence County,ResidenceCounty,Character,2,0,FL District/County Codes,,Picklist
F,all-cnd-AlcoholRelated,STUDENT_CONDUCT_INCIDENT,UDF,"Incident, Alcohol-Related",Alcohol,Character,1,0,,,
F,all-cnd-Arrested,STUDENT_CONDUCT_INCIDENT,UDF,Arrested,Arrested,Logical,1,0,,,
F,all-cnd-BullyingRelated,STUDENT_CONDUCT_INCIDENT,UDF,"Incident, Bullying-Related",Bullying,Logical,1,0,,,
F,all-cnd-Context,STUDENT_CONDUCT_INCIDENT,UDF,"Incident, Context",Context,Character,1,0,FL Conduct Incident Context,Dropdown,
F,all-cnd-DrugRelated,STUDENT_CONDUCT_INCIDENT,UDF,"Incident, Drug-Related",Drug,Character,1,0,,,
F,all-cnd-DrugType,STUDENT_CONDUCT_INCIDENT,UDF,Drug Description,Drug Desc,Character,1,0,FL Conduct Incident Drug Description,Dropdown,
F,all-cnd-GangRelated,STUDENT_CONDUCT_INCIDENT,UDF,"Incident, Gang-Related",Gang,Logical,1,0,,,
F,all-cnd-HarassmentBasedOnRace,STUDENT_CONDUCT_INCIDENT,UDF,Harassment Based On Race,Race,Logical,1,0,,,
F,all-cnd-HarassmentBasedOnDisability,STUDENT_CONDUCT_INCIDENT,UDF,Harassment Based On Disability,Disability,Logical,1,0,,,
F,all-cnd-HarassmentBasedOnReligion,STUDENT_CONDUCT_INCIDENT,UDF,Harassment Based On Religion,Religion,Logical,1,0,,,
F,all-cnd-HarassmentBasedOnSex,STUDENT_CONDUCT_INCIDENT,UDF,Harassment Based On Sex,Sex,Logical,1,0,,,
F,all-cnd-HarassmentBasedOnSexualOrientation,STUDENT_CONDUCT_INCIDENT,UDF,Harassment Based On Sexual Orientation,SexualOrientation,Logical,1,0,,,
F,all-cnd-HateCrimeRelated,STUDENT_CONDUCT_INCIDENT,UDF,"Incident, Hate Crime-Related",Hate Crime,Logical,1,0,,,
F,all-cnd-HazingRelated,STUDENT_CONDUCT_INCIDENT,UDF,"Incident, Hazing-Related",Hazing,Logical,1,0,,,
F,all-cnd-HomicideVictims,STUDENT_CONDUCT_INCIDENT,UDF,Victims of Homicide,Victims of Hom,Character,4,0,FL Conduct Incident Victims of Homicide,Dropdown,
F,all-cnd-InjuryRelated,STUDENT_CONDUCT_INCIDENT,UDF,"Incident, Injury-Related",Injury,Character,1,0,FL Conduct Incident Injury Related,Dropdown,
F,all-cnd-OffenderType,STUDENT_CONDUCT_INCIDENT,UDF,"Incident, Involvement Type",Involv Type,Character,3,0,FL Conduct Incident Involvement Type,Dropdown,
F,all-cnd-ReportedToLawEnforcement,STUDENT_CONDUCT_INCIDENT,UDF,"Incident, Reported to Law Enforcement",Law Enforcement,Character,1,0,FL Conduct Incident Report Law Enforcement,Dropdown,
F,all-cnd-WeaponDischarged,STUDENT_CONDUCT_INCIDENT,UDF,"Weapon, Discharged",Weapon Disch,Character,1,0,FL Conduct Incident Discharged Weapon,Dropdown,
F,all-cnd-WeaponRelated,STUDENT_CONDUCT_INCIDENT,UDF,"Incident, Weapon-Related",Weapon,Character,1,0,FL Conduct Incident Weapon Related,Dropdown,
