TYPE (F/C)	F: Alias	F: Database Table	"F: Database Field (or ""UDF"")"	F: Long Name	F: Short Name	F: User Type	F: User Length	F: User Decimals	F: Reference Table Name
(Field/Code)	C: Code	C: Description	C: State Code	C: NOT USED	C: NOT USED	C: NOT USED	C: NOT USED	C: NOT USED	C: NOT USED
F	i4see 030	ORGANIZATION	UDF	SAU Number	SAU Number	Character	10	0	
F	i4see 040	ORGANIZATION	UDF	District Number	District Number	Character	10	0	
F	i4see Adj School Number	STUDENT	UDF	Adjusted School Number	Adjusted School Number	Character	10	0	
F	i4see Status	STUDENT	UDF	i4see Status	i4see Status	Character	25	0	i4see Report Status Codes
C	Report	Report	1						
C	Do not report	Do not report	2						
F	i4see CATE Status	STUDENT	UDF	i4see CATE Status	i4see CATE Status	Character	25	0	i4see CATE Report Status Codes
C	Report	Report	1						
C	Do not report	Do not report	2						
F	i4see CATE	SCHOOL	UDF	CATE	CATE	Logical	1	0	 
F	i4see 1600	STUDENT_PROGRAM_PARTICIPATION	UDF	Receiving School AU Number	SAUNbrReceive		10	0	 
F	i4see 1610	STUDENT_PROGRAM_PARTICIPATION	UDF	Receiving District Number	DistNbrReceive		10	0	 
F	i4see 1620	STUDENT_PROGRAM_PARTICIPATION	UDF	Receiving School Number	SchoolNbrReceive		10	0	 
F	i4see 1200	STAFF_CERTIFICATION	SFC_CERTIFICATION_NUMBER	Educator ID	Educator ID		20	0	 
F	i4see 1201	STAFF	UDF	Educator ID 2	Educator ID 2		10	0	 
F	i4see 1202	STAFF	UDF	Educator ID 3	Educator ID 3		10	0	 
F	i4see 1740	COURSE	UDF	Program ID	ProgramID		10	0	 
F	i4see 1400	SCHEDULE_TERM_DATE	TMD_START_DATE	Begin Date	BeginDate		10	0	 
F	i4see 1410	SCHEDULE_TERM_DATE	TMD_END_DATE	End Date	EndDate		10	0	 
F	i4see 1420	DISTRICT_SCHOOL_YEAR_CONTEXT	CTX_SCHOOL_YEAR	School Year	School Year		4	0	 
