TYPE (F),F:Alias,F:Database Table,"F:Database Field (or ""UDF"")",F:Long Name,F:Short Name,F:User Type,F:User Length,F:User Decimals,F:Reference Table Name,F:Reference Display Mode (Dropdown/Picklist),F:Reference Valid Code Required
TYPE (C),C: Code,C: Description,C: State Code,C: Local Code,C: Federal Code,C: Category Name,C: Is a category?,C: Dependency Code,C: edfi enumeration value,C: NOT USED,C: NOT USED
TYPE (R),R: Reference Table OID,R: Reference Table Name,R: Reference Table Code Length,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED
F,all-crs-ExcludeFromReporting,COURSE,UDF,all-crs-ExcludeFromReporting,all-crs-ExcludeFromReporting,Logical,1,0,,,,
F,all-crs-InstitutionTypeCode,COURSE,UDF,all-crs-InstitutionTypeCode,all-crs-InstitutionTypeCode,Character,25,0,OnSIS Institution Type,Picklist,,
F,all-crs-CourseCodeType,COURSE,UDF,all-crs-CourseCodeType,all-crs-CourseCodeType,Character,25,0,Course Code Types,Picklist,,
F,all-crs-MinistryCourseCode,COURSE,UDF,all-crs-MinistryCourseCode,all-crs-MinistryCourseCode,Character,10,0,OnSIS Ministry Course Code,Picklist,,
F,all-crs-CourseTypeCode,COURSE,UDF,all-crs-CourseTypeCode,all-crs-CourseTypeCode,Character,25,0,OnSIS Course Type Code,Picklist,,
F,all-crs-CompulsoryFlag,COURSE,UDF,all-crs-CompulsoryFlag,all-crs-CompulsoryFlag,Logical,1,0,,,,
F,all-crs-CourseDeliveryType,COURSE,UDF,all-crs-CourseDeliveryType,all-crs-CourseDeliveryType,Character,10,0,OnSIS Course Delivery Type,Picklist,,
F,all-crs-LanguageProgram,COURSE,UDF,all-crs-LanguageProgram,all-crs-LanguageProgram,Character,10,0,OnSIS Subj Pgm Type,Picklist,,
F,all-crs-CreditType,COURSE,UDF,all-crs-CreditType,all-crs-CreditType,Character,3,0,OnSIS Credit Types,Picklist,,
F,all-crs-ElementarySubjectType,COURSE,UDF,all-crs-ElementarySubjectType,all-crs-ElementarySubjectType,Character,3,0,Elementary Subject Type,Picklist,,
F,all-crs-LanguageOfInstruction,COURSE,UDF,all-crs-LanguageOfInstruction,all-crs-LanguageOfInstruction,Character,3,0,"Language Codes (School, Course)",Picklist,,
F,all-crs-OtherCourseInformationType,COURSE,UDF,all-crs-OtherCourseInformationType,all-crs-OtherCourseInformationType,Character,10,0,"OnSIS Other Course Information Type",Picklist,,
F,,COURSE,CRS_GRADE_LEVEL,,,Character,20,0,Grade Levels,Picklist,,
F,all-csk-CourseDeliveryType,COURSE_SCHOOL,UDF,all-csk-CourseDeliveryType,all-csk-CourseDeliveryType,Character,10,0,OnSIS Course Delivery Type,Picklist,,
F,all-mst-ClassType,SCHEDULE_MASTER,UDF,all-mst-ClassType,all-mst-ClassType,Character,25,0,OnSIS Class Type,Picklist,,
F,all-mst-ClassroomType,SCHEDULE_MASTER,UDF,all-mst-ClassroomType,all-mst-ClassroomType,Character,25,0,OnSIS Classroom Type,Picklist,,
F,all-mst-LanguageOfInstruction,SCHEDULE_MASTER,UDF,all-mst-LanguageOfInstruction,all-mst-LanguageOfInstruction,Character,25,0,OnSIS Language of Instruction,Picklist,,
F,all-mst-LanguageProgram,SCHEDULE_MASTER,UDF,all-mst-LanguageProgram,all-mst-LanguageProgram,Character,25,0,OnSIS Subj Pgm Type,Picklist,,
F,all-mst-ContinuedSection,SCHEDULE_MASTER,UDF,all-mst-ContinuedSection,all-mst-ContinuedSection,Logical,1,0,,,,
F,all-mst-ExcludeFromOnSIS,SCHEDULE_MASTER,UDF,all-mst-ExcludeFromOnSIS,all-mst-ExcludeFromOnSIS,Logical,1,0,,,,
F,all-mtc-BeginDate,SCHEDULE_MASTER_TEACHER,UDF,all-mtc-BeginDate,all-mtc-BeginDate,Date,10,0,,,,
F,all-mtc-EndDate,SCHEDULE_MASTER_TEACHER,UDF,all-mtc-EndDate,all-mtc-EndDate,Date,10,0,,,,
F,all-psn-ArrivalDateCanada,PERSON,UDF,all-psn-ArrivalDateCanada,all-psn-ArrivalDateCanada,Date,10,0,,,,
F,all-psn-CanadaStatusCode,PERSON,UDF,Canadian residence status,CA Residence Status,Character,0,0,OnSIS Residence Status Type,Picklist,,
F,all-std-ExcludeFromReporting,STUDENT,UDF,all-std-ExcludeFromReporting,all-std-ExcludeFromReporting,Logical,1,0,,,,
F,all-std-Oen,STUDENT,STD_ID_STATE,OEN,OEN,Character,20,0,,,
F,StateId,SCHOOL,UDF,StateId,StateId,Character,10,0,,,,
F,all-std-FirstLanguageSpoken,STUDENT,UDF,all-std-FirstLanguageSpoken,all-std-FirstLanguageSpoken,Character,25,0,Language Codes,Picklist,,
F,all-skl-LanguageType,SCHOOL,UDF,all-skl-LanguageType,all-skl-LanguageType,Character,25,0,OnSIS Language,Picklist,,
F,all-skl-BSID,SCHOOL,UDF,all-skl-BSID,all-skl-BSID,Character,25,0,,,,
F,all-skl-SpecialCondition,SCHOOL,UDF,all-skl-SpecialCondition,all-skl-SpecialCondition,Character,25,0,Special Condition Codes,,,
F,,SCHOOL,SKL_SCHOOL_LEVEL_CODE,,,Character,20,0,School Level Codes,Picklist,,
F,all-psn-LegalFirstName,PERSON,UDF,all-psn-LegalFirstName,all-psn-LegalFirstName,Character,50,0,,,,
F,all-psn-LegalLastName,PERSON,UDF,all-psn-LegalLastName,all-psn-LegalLastName,Character,50,0,,,,
F,all-psn-LegalMiddleName,PERSON,UDF,all-psn-LegalMiddleName,all-psn-LegalMiddleName,Character,50,0,,,,
F,all-psn-BirthCountry,PERSON,UDF,all-psn-BirthCountry,all-psn-BirthCountry,Character,25,0,OnSIS Country Codes,Picklist,,
F,all-psn-BirthProvince,PERSON,UDF,all-psn-BirthProvince,all-psn-BirthProvince,Character,25,0,OnSIS State Province,Picklist,,
F,all-enr-LanguagePreviousSchool,STUDENT_ENROLLMENT,UDF,all-enr-LanguagePreviousSchool,all-enr-LanguagePreviousSchool,Character,25,0,OnSIS Language,Picklist,,
F,all-enr-BoardResidentStatus,STUDENT_ENROLLMENT,UDF,all-enr-BoardResidentStatus,all-enr-BoardResidentStatus,Character,25,0,OnSIS Student Board Resident Status,Picklist,,
F,all-enr-EnrolmentRegister,STUDENT_ENROLLMENT,UDF,all-enr-EnrolmentRegister,all-enr-EnrolmentRegister,Character,25,0,OnSIS Attendance Type,Picklist,,
