TYPE (F),F:Alias,F:Database Table,"F:Database Field (or ""UDF"")",F:Long Name,F:Short Name,F:User Type,F:User Length,F:User Decimals,F:Reference Table Name,F:Reference Display Mode (Dropdown/Picklist),F:Reference Valid Code Required
TYPE (C),C: Code,C: Description,C: State Code,C: Local Code,C: Federal Code,C: Category Name,C: Is a category?,C: Dependency Code,C: edfi enumeration value,C: NOT USED,C: NOT USED
TYPE (R),R: Reference Table OID,R: Reference Table Name,R: Reference Table Code Length,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED,R: NOT USED
F,all-rcd-EdFiEnumeration,REF_CODE,UDF,EdFi Enumeration,EdFi Enumeration,Text,100,0,,,
F,all-org-StateId,ORGANIZATION,UDF,Education Service Center Id,Service Center Id,Character,6,0,,,
F,all-org-StateName,ORGANIZATION,UDF,Education Service Center Name,Service Center Name,Character,50,0,,,
F,all-org-Category,ORGANIZATION,UDF,Organization Category,Organization Category,Character,24,0,Organization Categories,Dropdown,
C,State Education Agency,State Education Agency,,,,,,,,,
C,Education Service Center,Education Service Center,,,,,,,,,
C,Local Education Agency,Local Education Agency,,,,,,,,,
C,School,School,,,,,,,,,
F,all-org-MainTelephoneNumber,ORGANIZATION,UDF,Main Phone,Main Phone,Character,24,0,,,
F,all-org-Website,ORGANIZATION,UDF,Website,Website,Character,50,0,,,
F,COURSE-IDENTIFICATION-SYSTEM,COURSE,UDF,COURSE-IDENTIFICATION-SYSTEM,COURSE-IDENTIFICATION-SYSTEM,Character,50,0,Identification System Codes,Dropdown,
C,CSSC course code,CSSC course code,,,,,,,,,
C,Intermediate agency course code,Intermediate agency course code,,,,,,,,,
C,LEA course code,LEA course code,,,,,,,,,
C,NCES Pilot SNCCS course code,NCES Pilot SNCCS course code,,,,,,,,,
C,Other,Other,,,,,,,,,
C,SCED course code,SCED course code,,,,,,,,,
C,School course code,School course code,,,,,,,,,
C,State course code,State course code,,,,,,,,,
C,University course code,University course code,,,,,,,,,
F,SERVICE-ID,COURSE,UDF,SERVICE-ID,SERVICE-ID,Character,50,0,,,
F,tx-skl-FineArtsCategory,SCHOOL_ATTRIBUTES,UDF,fieldA003,FINE-ARTS Category,Character,2,0,,,
F,tx-skl-WellnessAndPECategory,SCHOOL_ATTRIBUTES,UDF,fieldA004,WELLNESS AND PHYSICAL ED Category,Character,2,0,,,
F,tx-skl-CommunityAndParentalInvolvementCategory,SCHOOL_ATTRIBUTES,UDF,fieldA005,COMMUNITY-AND-PARENTAL-INVOLVEMENT Category,Character,2,0,,,
F,tx-skl-21stCenturyWorkforceDevelPgmCategory,SCHOOL_ATTRIBUTES,UDF,fieldA006,21ST-CENTURY-WORKFORCE-DEVEL-PGM Category,Character,2,0,,,
F,tx-skl-SecondLanguageAcquisitionProgramCategory,SCHOOL_ATTRIBUTES,UDF,fieldA007,SECOND-LANG-ACQUISITION-PGM Category,Character,2,0,,,
F,tx-skl-DigitalLearningEnvironmentCategory,SCHOOL_ATTRIBUTES,UDF,fieldA008,DIGITAL-LEARNING-ENVIRONMENT Category,Character,2,0,,,
F,tx-skl-DropoutPreventionStrategiesCategory,SCHOOL_ATTRIBUTES,UDF,fieldA009,DROPOUT-PREVENTION-STRATEGIES Category,Character,2,0,,,
F,tx-skl-EducationalPgmGTStudentsCategory,SCHOOL_ATTRIBUTES,UDF,fieldA010,EDUCATIONAL-PGM-FOR-GT-STUDENTS Category,Character,2,0,,,
F,tx-skl-OverallRatingCategory,SCHOOL_ATTRIBUTES,UDF,fieldA011,OVERALL-RATING Category,Character,2,0,,,
F,tx-skl-StatutoryReportingAndPolicyCompliance,SCHOOL_ATTRIBUTES,UDF,fieldA012,STATUTORY-REPORTING-AND-POLICY-COMPLIANCE Category,Character,2,0,,,
